lat,lng
22.4233709,109.291285
23.4227559,111.240614
40.8149866,111.664684
22.2673337,113.468588
30.3211341,112.23505
31.3145805,120.58508
34.3310516,108.673469
33.7683052,106.080699
41.1153344,123.059065
21.6775473,109.206595
22.856455,108.218074
23.0136845,113.702536
42.8900859,125.144928
39.6325439,94.3352217
52.9683796,122.527941
50.2466208,120.190789
49.5909693,117.447327
49.5780922,128.469373
49.4641212,117.683661
49.2181516,119.73508
49.2078334,119.761537
48.2472898,126.501914
48.241797,126.506009
48.239301,126.506398
48.0355872,126.241895
48.0295875,125.860441
47.9157229,123.503639
47.8846691,125.301578
47.7215813,128.885555
47.459541,126.965184
47.425854,130.54067
47.425854,130.54067
47.3397243,123.950661
47.339408,123.187159
47.3384813,123.944474
47.3295856,123.185216
47.3236493,130.274754
47.3196323,123.91327
47.2904136,131.849522
47.2485947,132.621456
47.2425844,127.113725
47.2375574,127.108086
47.2060817,123.625575
46.8783939,127.502286
46.8332224,126.475879
46.81513,130.347524
46.8107331,130.357386
46.7769453,131.800268
46.7342703,131.129171
46.7302619,129.895724
46.7117692,131.568692
46.6858109,126.104077
46.6366916,124.862845
46.6332305,126.986017
46.6332305,126.986017
46.6311883,126.970516
46.6256262,126.985019
46.62465,125.157465
46.6205662,124.865438
46.6168515,124.889956
46.5925682,125.111485
46.5376726,124.869976
46.5363645,125.139584
46.4175698,125.339511
46.404333,125.325137
46.4029021,125.31969
46.3325924,132.185224
46.3255371,132.193822
46.2586257,126.285728
46.2577067,126.281988
46.2372264,130.562085
46.0831574,127.390813
46.0808864,127.386149
46.0802602,122.020086
45.9758921,126.600519
45.8737472,126.517771
45.8737472,126.517771
45.8718527,126.541118
45.8375956,128.828595
45.8194363,126.586085
45.8163911,126.635396
45.7888587,126.694138
45.7888587,126.694138
45.7828673,126.669653
45.7784723,126.634893
45.7713271,131.011292
45.7698305,126.618377
45.7698305,126.618377
45.7698305,126.618377
45.7633167,132.970936
45.760789,130.583951
45.7594512,126.661821
45.7582852,126.59676
45.7575113,126.639707
45.7545824,127.159614
45.7324934,126.587397
45.7241583,126.688729
45.7207169,126.524909
45.7195365,126.603514
45.7165172,126.617227
45.7110295,126.660588
45.7077872,126.591931
45.705191,126.589259
45.7021085,126.587628
45.6089983,122.833658
45.6028497,126.622613
45.5893556,123.767962
45.5446897,131.867402
45.5432947,131.866918
45.5312114,126.989933
45.5108845,124.273082
45.3641732,126.307499
45.3327739,122.780572
45.3134027,124.469621
45.2958184,130.972937
45.2908473,130.948665
45.1480507,124.8016
45.1311322,124.821363
45.1145752,124.817538
44.9844984,126.020523
44.9834002,126.022778
44.9194286,127.15881
44.9188465,127.170079
44.9177964,130.518788
44.9150039,130.528891
44.8344618,126.540646
44.8219664,126.549863
44.5896355,129.611584
44.5838289,129.608747
44.5724245,129.383056
44.5720845,129.383026
44.5555657,120.900092
44.5362863,125.695945
44.5330276,125.704362
44.4749549,128.912168
44.4246118,125.167775
44.3938282,131.156451
44.3933642,131.15532
44.3441841,129.46182
44.3033899,86.037101
44.145456,125.832524
44.0622791,131.120297
44.0513006,125.183858
44.0512915,80.8703149
43.948366,116.085715
43.9296291,125.362607
43.9126577,87.5377811
43.902031,125.334967
43.8988242,125.310048
43.8957288,125.337801
43.8957288,125.337801
43.8891517,125.327343
43.8876788,125.25715
43.8865917,125.314606
43.8860947,125.312366
43.8855159,87.5333162
43.8804865,87.5806182
43.8690488,126.523382
43.8682795,87.5576593
43.8621416,126.534266
43.8611016,125.285882
43.8593833,126.523121
43.8570139,125.388816
43.8470386,87.5669463
43.8458783,126.55998
43.841562,126.546499
43.8357025,125.400046
43.8350666,125.364368
43.8337517,125.240137
43.82986,125.313855
43.8290754,125.282027
43.8196054,125.245573
43.8189193,87.5854183
43.8158943,87.6195515
43.8157504,87.5523159
43.8156651,125.301346
43.8125378,125.357927
43.7985768,87.6058528
43.7964429,87.6140944
43.790303,126.571924
43.7880298,87.5985413
43.7868007,87.6315538
43.7790339,87.5985098
43.7736352,87.5894577
43.7712404,125.24953
43.7126262,125.072679
43.7106691,127.313037
43.7050342,125.983125
43.6700298,126.509266
43.6590357,126.498123
43.6533264,122.262673
43.64804,111.976196
43.6425241,111.951434
43.6171961,122.262591
43.5982833,121.334682
43.5982833,121.334682
43.5235213,125.663213
43.5176731,123.498214
43.5160309,123.481193
43.5048194,124.807565
43.4872801,124.780917
43.4325148,125.406397
43.3656024,128.227298
43.3649604,128.222911
43.344971,125.295658
43.3330766,125.298564
43.3264329,124.336633
43.3018849,124.322593
43.2919759,128.499308
43.1970394,124.048121
43.1676555,124.364107
43.153978,124.355754
42.9628836,129.839892
42.9482443,122.36611
42.9476111,126.032545
42.9326717,119.013774
42.9294491,119.023821
42.9044114,129.504688
42.89431,125.107204
42.8901437,129.507992
42.8900859,125.144928
42.8900859,125.144928
42.880583,130.354353
42.8706703,130.358606
42.8627742,130.353718
42.8575693,130.34777
42.8560673,93.4394781
42.7825565,124.106753
42.7739203,129.414039
42.7420268,123.347379
42.7362826,121.771024
42.7332984,123.335267
42.6792659,126.039469
42.6720661,125.524712
42.5391591,124.039176
42.5111311,123.41685
42.4420572,123.5359
42.3669315,125.430315
42.3299824,127.267788
42.2942464,123.848379
42.2888545,123.838643
42.2870037,119.900101
42.2768201,119.917085
42.2698894,118.94876
42.1845669,127.472593
42.0549051,121.735048
42.0472308,123.516627
42.0136667,121.652563
42.013219,121.641554
41.995533,122.821923
41.9943622,122.826897
41.9539139,123.457602
41.9454283,123.517093
41.9382903,123.515365
41.9368213,126.416462
41.9185456,123.394778
41.9162794,123.591717
41.9136841,123.411862
41.8787609,123.390152
41.8769869,123.915049
41.8721423,123.409832
41.8556453,123.480817
41.8544056,123.411248
41.8479185,123.806437
41.8051831,123.427738
41.804817,123.478436
41.8041588,120.7645
41.8029096,123.416667
41.8021136,123.461378
41.8007279,123.376863
41.8005488,123.449871
41.7987776,123.453747
41.7925689,123.400126
41.7910989,123.396143
41.7900829,123.392674
41.7886264,123.206804
41.7862259,123.361081
41.7839515,121.407918
41.7677134,123.449798
41.7669897,123.483009
41.7460157,123.242133
41.7413507,123.448502
41.7292518,125.032076
41.6880901,123.416794
41.6828805,122.119679
41.6730761,125.761595
41.6598605,123.33975
41.5903796,121.786576
41.5193486,111.698051
41.5099532,122.726148
41.4288443,123.32896
41.3980153,119.633985
41.3864768,122.427179
41.3622699,121.768186
41.3078871,123.814779
41.3031396,123.784223
41.2952034,123.754048
41.2906124,123.754548
41.2903524,123.756015
41.2705919,123.168139
41.2415546,119.398289
41.2041332,116.643034
41.188731,122.054974
41.1736861,80.2665749
41.1713374,121.351956
41.1641635,123.422462
41.1257424,123.02807
41.1252539,122.099661
41.1248767,122.053711
41.1239615,119.741127
41.1231291,126.181158
41.1227933,123.073167
41.1224914,126.183327
41.1180044,121.135404
41.1165908,122.968793
41.1154478,121.134857
41.1137994,121.151933
41.1137994,121.151933
41.1135238,122.974309
41.1116386,121.153786
41.1088796,122.990597
41.1085466,122.983381
41.0923199,121.133721
41.0913641,122.982711
41.0761608,122.07014
41.0333094,113.102855
40.9937045,122.070706
40.9773426,117.939545
40.9291764,117.324647
40.856053,111.674842
40.8528431,122.747483
40.850197,122.738189
40.8385756,111.731653
40.8338699,111.605888
40.8265115,111.691158
40.8256839,111.703116
40.8193377,111.727341
40.8158889,114.880416
40.8145914,119.809306
40.8117,111.65874
40.8117,111.65874
40.7852975,114.889673
40.7708932,114.890918
40.7693702,118.158727
40.7659537,111.639027
40.7553713,107.417522
40.7538653,120.850412
40.7538653,120.850412
40.7511793,107.414741
40.7318924,120.865246
40.7245668,124.780912
40.7229508,124.778257
40.721028,99.9883703
40.682699,120.813022
40.6797766,109.836876
40.6764923,109.874123
40.6669998,109.873001
40.6634613,109.811299
40.6579288,109.813441
40.6570222,109.831633
40.6569269,122.245205
40.6564519,109.808503
40.6528887,109.837065
40.6438961,122.246055
40.6267744,109.803865
40.6169929,120.772175
40.6143951,120.71278
40.6124889,122.221827
40.6089041,115.036502
40.5858843,110.017017
40.5795371,110.007484
40.5790283,110.021799
40.5324476,112.498838
40.4891711,111.773447
40.4830293,111.786423
40.4412999,113.15939
40.4176304,114.075483
40.40306,118.939435
40.3741493,116.840366
40.2960442,123.278332
40.2796673,111.189841
40.2712939,122.127412
40.2473773,122.150025
40.2223168,116.214534
40.2169597,122.087888
40.1736333,122.118585
40.1661581,116.211748
40.158176,117.117429
40.156006,124.430195
40.1322103,124.390933
40.1055456,113.312669
40.1044643,116.536887
